DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;0.1;;;
2/1/2015;0.21;;;
3/1/2015;0;;;
4/1/2015;3.21;;;
5/1/2015;0.97;;;
6/1/2015;2.2;;;
7/1/2015;0.87;;;
8/1/2015;0.3;;;
9/1/2015;0.07;;;
10/1/2015;1.65;;;
11/1/2015;0.18;;;
12/1/2015;0.58;;;
13/1/2015;1.59;;;
14/1/2015;5.63;;;
15/1/2015;28.31;;;
16/1/2015;19.51;;;
17/1/2015;6.79;;;
18/1/2015;17.46;;;
19/1/2015;1.79;;;
20/1/2015;13.29;;;
21/1/2015;4.83;;;
22/1/2015;14.43;;;
23/1/2015;7.42;;;
24/1/2015;6.01;;;
25/1/2015;3.04;;;
26/1/2015;0;;;
27/1/2015;10.32;;;
28/1/2015;1.82;;;
29/1/2015;1.48;;;
30/1/2015;0.9;;;
31/1/2015;1.97;;;
1/2/2015;0.05;;;
2/2/2015;0.81;;;
3/2/2015;1.8;;;
4/2/2015;0;;;
5/2/2015;0;;;
6/2/2015;15.39;;;
7/2/2015;30.64;;;
8/2/2015;1.11;;;
9/2/2015;1.71;;;
10/2/2015;1.06;;;
11/2/2015;0.02;;;
12/2/2015;0.27;;;
13/2/2015;2.12;;;
14/2/2015;13.4;;;
15/2/2015;3.41;;;
16/2/2015;2.56;;;
17/2/2015;0.61;;;
18/2/2015;2.87;;;
19/2/2015;1.2;;;
20/2/2015;9.61;;;
21/2/2015;9.98;;;
22/2/2015;5.93;;;
23/2/2015;17.9;;;
24/2/2015;12;;;
25/2/2015;5.86;;;
26/2/2015;1.83;;;
27/2/2015;1.4;;;
28/2/2015;2.69;;;
1/3/2015;6.07;;;
2/3/2015;11.96;;;
3/3/2015;1.96;;;
4/3/2015;12.05;;;
5/3/2015;25.73;;;
6/3/2015;4.25;;;
7/3/2015;0.17;;;
8/3/2015;0.33;;;
9/3/2015;1.21;;;
10/3/2015;0.1;;;
11/3/2015;0.39;;;
12/3/2015;1;;;
13/3/2015;7.19;;;
14/3/2015;1.27;;;
15/3/2015;4.72;;;
16/3/2015;2.47;;;
17/3/2015;13.78;;;
18/3/2015;19.08;;;
19/3/2015;6.95;;;
20/3/2015;30.92;;;
21/3/2015;0.92;;;
22/3/2015;4.62;;;
23/3/2015;7.7;;;
24/3/2015;12.85;;;
25/3/2015;10.19;;;
26/3/2015;3.32;;;
27/3/2015;5.98;;;
28/3/2015;0.53;;;
29/3/2015;16.03;;;
30/3/2015;6.38;;;
31/3/2015;3.07;;;
1/4/2015;1.12;;;
2/4/2015;1.28;;;
3/4/2015;2.54;;;
4/4/2015;1.24;;;
5/4/2015;10.07;;;
6/4/2015;0.13;;;
7/4/2015;0.13;;;
8/4/2015;0.39;;;
9/4/2015;0.08;;;
10/4/2015;1.27;;;
11/4/2015;1.74;;;
12/4/2015;1.97;;;
13/4/2015;0.47;;;
14/4/2015;6.09;;;
15/4/2015;12.29;;;
16/4/2015;32.5;;;
17/4/2015;21.58;;;
18/4/2015;4.59;;;
19/4/2015;10.48;;;
20/4/2015;5.47;;;
21/4/2015;4.67;;;
22/4/2015;1.58;;;
23/4/2015;0.18;;;
24/4/2015;0.24;;;
25/4/2015;0.11;;;
26/4/2015;1.7;;;
27/4/2015;0.89;;;
28/4/2015;3.45;;;
29/4/2015;1.3;;;
30/4/2015;5.13;;;
1/5/2015;3.64;;;
2/5/2015;3.39;;;
3/5/2015;14.24;;;
4/5/2015;3.13;;;
5/5/2015;8.89;;;
6/5/2015;1.97;;;
7/5/2015;2.33;;;
8/5/2015;0.68;;;
9/5/2015;1.13;;;
10/5/2015;0.4;;;
11/5/2015;1.93;;;
12/5/2015;4.51;;;
13/5/2015;0.28;;;
14/5/2015;1.5;;;
15/5/2015;0.91;;;
16/5/2015;0.15;;;
17/5/2015;6.11;;;
18/5/2015;1.56;;;
19/5/2015;1.57;;;
20/5/2015;2.49;;;
21/5/2015;5.13;;;
22/5/2015;12.45;;;
23/5/2015;5.78;;;
24/5/2015;1.17;;;
25/5/2015;4.74;;;
26/5/2015;5.52;;;
27/5/2015;0.09;;;
28/5/2015;11.75;;;
29/5/2015;1.36;;;
30/5/2015;0.88;;;
31/5/2015;2.56;;;
1/6/2015;0.64;;;
2/6/2015;1.86;;;
3/6/2015;0.06;;;
4/6/2015;2.18;;;
5/6/2015;1.47;;;
6/6/2015;1.28;;;
7/6/2015;0.23;;;
8/6/2015;18.08;;;
9/6/2015;1.42;;;
10/6/2015;0.76;;;
11/6/2015;6.55;;;
12/6/2015;1.28;;;
13/6/2015;2.94;;;
14/6/2015;7.37;;;
15/6/2015;6.26;;;
16/6/2015;3.22;;;
17/6/2015;7.35;;;
18/6/2015;11.06;;;
19/6/2015;0.68;;;
20/6/2015;1.85;;;
21/6/2015;0.69;;;
22/6/2015;1.14;;;
23/6/2015;2.21;;;
24/6/2015;0.95;;;
25/6/2015;0.09;;;
26/6/2015;0.13;;;
27/6/2015;0.62;;;
28/6/2015;0.66;;;
29/6/2015;0.91;;;
30/6/2015;0.89;;;
1/7/2015;1.16;;;
2/7/2015;0.18;;;
3/7/2015;1.35;;;
4/7/2015;0.32;;;
5/7/2015;0.03;;;
6/7/2015;2.94;;;
7/7/2015;7.58;;;
8/7/2015;1.15;;;
9/7/2015;0.05;;;
10/7/2015;0.08;;;
11/7/2015;0;;;
12/7/2015;0.32;;;
13/7/2015;0;;;
14/7/2015;3.25;;;
15/7/2015;0.63;;;
16/7/2015;0.43;;;
17/7/2015;0.33;;;
18/7/2015;6.19;;;
19/7/2015;7.25;;;
20/7/2015;9.63;;;
21/7/2015;0.33;;;
22/7/2015;36.23;;;
23/7/2015;0.53;;;
24/7/2015;0.23;;;
25/7/2015;0.11;;;
26/7/2015;2.85;;;
27/7/2015;0;;;
28/7/2015;0.51;;;
29/7/2015;0.05;;;
30/7/2015;0.03;;;
31/7/2015;1.07;;;
1/8/2015;6;;;
2/8/2015;0.21;;;
3/8/2015;0.37;;;
4/8/2015;4.43;;;
5/8/2015;0.91;;;
6/8/2015;0;;;
7/8/2015;0;;;
8/8/2015;0.03;;;
9/8/2015;0.09;;;
10/8/2015;0;;;
11/8/2015;5.16;;;
12/8/2015;0.23;;;
13/8/2015;0;;;
14/8/2015;0;;;
15/8/2015;1.39;;;
16/8/2015;0;;;
17/8/2015;1.18;;;
18/8/2015;4.92;;;
19/8/2015;12.13;;;
20/8/2015;0;;;
21/8/2015;1.17;;;
22/8/2015;0.39;;;
23/8/2015;0.3;;;
24/8/2015;0.03;;;
25/8/2015;3.13;;;
26/8/2015;0;;;
27/8/2015;1.17;;;
28/8/2015;0;;;
29/8/2015;0.36;;;
30/8/2015;0.38;;;
31/8/2015;1.8;;;
1/9/2015;0;;;
2/9/2015;0;;;
3/9/2015;2.43;;;
4/9/2015;0;;;
5/9/2015;1.06;;;
6/9/2015;0.63;;;
7/9/2015;4.47;;;
8/9/2015;0.73;;;
9/9/2015;3.76;;;
10/9/2015;0.79;;;
11/9/2015;1.72;;;
12/9/2015;2.9;;;
13/9/2015;0.23;;;
14/9/2015;0;;;
15/9/2015;1.26;;;
16/9/2015;0.18;;;
17/9/2015;9.2;;;
18/9/2015;10.59;;;
19/9/2015;0.68;;;
20/9/2015;0.92;;;
21/9/2015;4.85;;;
22/9/2015;0.24;;;
23/9/2015;0;;;
24/9/2015;2.37;;;
25/9/2015;0.18;;;
26/9/2015;0.16;;;
27/9/2015;0.44;;;
28/9/2015;0.98;;;
29/9/2015;0.73;;;
30/9/2015;1.45;;;
1/10/2015;1.21;;;
2/10/2015;2.53;;;
3/10/2015;2.09;;;
4/10/2015;0;;;
5/10/2015;0.13;;;
6/10/2015;0.01;;;
7/10/2015;0.06;;;
8/10/2015;1.13;;;
9/10/2015;3.26;;;
10/10/2015;0.68;;;
11/10/2015;1.19;;;
12/10/2015;0.51;;;
13/10/2015;8.04;;;
14/10/2015;31.17;;;
15/10/2015;16.12;;;
16/10/2015;8.78;;;
17/10/2015;0.61;;;
18/10/2015;1;;;
19/10/2015;2.91;;;
20/10/2015;0.93;;;
21/10/2015;0.75;;;
22/10/2015;0.28;;;
23/10/2015;0.25;;;
24/10/2015;3.06;;;
25/10/2015;5.7;;;
26/10/2015;6.27;;;
27/10/2015;2.03;;;
28/10/2015;0.42;;;
29/10/2015;5.89;;;
30/10/2015;12.5;;;
31/10/2015;2.81;;;
1/11/2015;0.77;;;
2/11/2015;0.21;;;
3/11/2015;0;;;
4/11/2015;7.24;;;
5/11/2015;6.03;;;
6/11/2015;20;;;
7/11/2015;59.05;;;
8/11/2015;8.23;;;
9/11/2015;4.64;;;
10/11/2015;0.28;;;
11/11/2015;1;;;
12/11/2015;0.24;;;
13/11/2015;0.5;;;
14/11/2015;0.14;;;
15/11/2015;7.7;;;
16/11/2015;9.43;;;
17/11/2015;5.21;;;
18/11/2015;3.84;;;
19/11/2015;0.01;;;
20/11/2015;1.54;;;
21/11/2015;0.14;;;
22/11/2015;2.01;;;
23/11/2015;2.47;;;
24/11/2015;3.04;;;
25/11/2015;0.16;;;
26/11/2015;3.37;;;
27/11/2015;3.72;;;
28/11/2015;11.14;;;
29/11/2015;0.02;;;
30/11/2015;0.04;;;
1/12/2015;2.82;;;
2/12/2015;17.9;;;
3/12/2015;0.99;;;
4/12/2015;4.17;;;
5/12/2015;16.13;;;
6/12/2015;3.84;;;
7/12/2015;0.07;;;
8/12/2015;19.4;;;
9/12/2015;3.98;;;
10/12/2015;4.11;;;
11/12/2015;2.58;;;
12/12/2015;0;;;
13/12/2015;3.13;;;
14/12/2015;0.92;;;
15/12/2015;0.97;;;
16/12/2015;1.48;;;
17/12/2015;0.21;;;
18/12/2015;2.8;;;
19/12/2015;3.08;;;
20/12/2015;4.06;;;
21/12/2015;1.5;;;
22/12/2015;7.11;;;
23/12/2015;0.01;;;
24/12/2015;1.04;;;
25/12/2015;0.35;;;
26/12/2015;0.75;;;
27/12/2015;0.58;;;
28/12/2015;0;;;
29/12/2015;3.06;;;
30/12/2015;0.09;;;
31/12/2015;0.65;;;
1/1/2016;0.02;;;
2/1/2016;17.83;;;
3/1/2016;1.12;;;
4/1/2016;0.36;;;
5/1/2016;20.1;;;
6/1/2016;4.33;;;
7/1/2016;18.09;;;
8/1/2016;22.88;;;
9/1/2016;2.24;;;
10/1/2016;24.38;;;
11/1/2016;0.71;;;
12/1/2016;0;;;
13/1/2016;13.15;;;
14/1/2016;1.59;;;
15/1/2016;0;;;
16/1/2016;1.4;;;
17/1/2016;0;;;
18/1/2016;0;;;
19/1/2016;3.1;;;
20/1/2016;3.33;;;
21/1/2016;0.48;;;
22/1/2016;2.28;;;
23/1/2016;3.78;;;
24/1/2016;2.62;;;
25/1/2016;36.55;;;
26/1/2016;0.09;;;
27/1/2016;0.27;;;
28/1/2016;0.83;;;
29/1/2016;7.21;;;
30/1/2016;1.93;;;
31/1/2016;4.94;;;
1/2/2016;6.69;;;
2/2/2016;4.7;;;
3/2/2016;18.34;;;
4/2/2016;12.62;;;
5/2/2016;0.53;;;
6/2/2016;1.23;;;
7/2/2016;0.61;;;
8/2/2016;0.69;;;
9/2/2016;0.22;;;
10/2/2016;9.35;;;
11/2/2016;0;;;
12/2/2016;0.92;;;
13/2/2016;3.08;;;
14/2/2016;0;;;
15/2/2016;1.33;;;
16/2/2016;1.63;;;
17/2/2016;0.97;;;
18/2/2016;0.28;;;
19/2/2016;0;;;
20/2/2016;0.33;;;
21/2/2016;12.18;;;
22/2/2016;9.31;;;
23/2/2016;3.39;;;
24/2/2016;2.62;;;
25/2/2016;0.92;;;
26/2/2016;6.45;;;
27/2/2016;0.01;;;
28/2/2016;1.4;;;
29/2/2016;7.85;;;
1/3/2016;0.83;;;
2/3/2016;9.16;;;
3/3/2016;4.68;;;
4/3/2016;2.02;;;
5/3/2016;20.99;;;
6/3/2016;15.2;;;
7/3/2016;9.08;;;
8/3/2016;5.77;;;
9/3/2016;22.56;;;
10/3/2016;20.26;;;
11/3/2016;4.49;;;
12/3/2016;10.39;;;
13/3/2016;7.77;;;
14/3/2016;10.07;;;
15/3/2016;0.54;;;
16/3/2016;0.03;;;
17/3/2016;8.91;;;
18/3/2016;3.41;;;
19/3/2016;0.63;;;
20/3/2016;3.32;;;
21/3/2016;0.23;;;
22/3/2016;0.25;;;
23/3/2016;0.11;;;
24/3/2016;0.04;;;
25/3/2016;0.27;;;
26/3/2016;1.77;;;
27/3/2016;1.85;;;
28/3/2016;4.28;;;
29/3/2016;3.31;;;
30/3/2016;39.61;;;
31/3/2016;7.79;;;
1/4/2016;2.08;;;
2/4/2016;16.23;;;
3/4/2016;33.61;;;
4/4/2016;1.08;;;
5/4/2016;21.46;;;
6/4/2016;0.7;;;
7/4/2016;3.07;;;
8/4/2016;1.32;;;
9/4/2016;15.91;;;
10/4/2016;2.34;;;
11/4/2016;10.93;;;
12/4/2016;10.03;;;
13/4/2016;13.7;;;
14/4/2016;0.81;;;
15/4/2016;2.07;;;
16/4/2016;3.11;;;
17/4/2016;0.85;;;
18/4/2016;0.28;;;
19/4/2016;1.67;;;
20/4/2016;0.32;;;
